P00001 DUPONT          Jean      1980-05-15 123456789012345 MUT001 75015
P00002 MARTIN          Sophie    1990-08-22 987654321098765 MUT002 69006
P00003 DURAND          Pierre    1975-12-03 456789012345678 MUT001 13008
P00004 LEROY           Claire    1985-03-10 234567890123456 MUT003 33000
P00005 PETIT           Laurent   1995-07-25 345678901234567 MUT002 59000
P00006 RICHARD         Thomas    2000-01-18 456789012345679 MUT001 31000
P00007 MOREAU          Julie     1988-11-12 567890123456780 MUT003 44000
P00008 SIMON           Nicolas   1970-09-05 678901234567891 MUT001 67000
P00009 MICHEL          Sarah     1992-04-20 789012345678902 MUT002 29200
P00010 LEFEVRE         Maxime    1965-08-30 890123456789013 MUT003 76100
000001 dev             mael      12025-02-208OPO            Moui   7CP
